Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pro_ZINC02120343,-6.9,0.0,0.0
pro_ZINC02120343,-6.2,8.515,3.903
pro_ZINC02120343,-5.9,9.055,3.752
pro_ZINC02120343,-5.8,4.314,2.624
pro_ZINC02120343,-5.7,16.857,11.568
pro_ZINC02120343,-5.6,8.908,3.146
pro_ZINC02120343,-5.4,2.433,1.484
pro_ZINC02120343,-5.4,5.289,4.191
pro_ZINC02120343,-5.4,4.519,3.649
