Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pro_ligand_ZINC00518885,-8.0,0.0,0.0
pro_ligand_ZINC00518885,-7.2,1.433,1.098
pro_ligand_ZINC00518885,-6.7,8.825,3.188
pro_ligand_ZINC00518885,-6.6,8.814,3.687
pro_ligand_ZINC00518885,-6.3,4.414,3.527
pro_ligand_ZINC00518885,-6.2,8.521,2.396
